P,SCORE,VM,MODE,SEX
19,57,-1,1,1
20,62,-1,1,1
21,63,-1,1,1
22,59,-1,1,1
23,60,-1,1,1
24,78,-1,1,1
25,48,-1,1,1
26,46,-1,1,1
27,69,-1,1,1
28,65,-1,1,1
29,59,-1,1,1
30,49,-1,1,1
31,61,-1,1,1
32,65,-1,1,1
33,62,-1,1,1
34,62,-1,1,1
35,53,-1,1,1
36,67,-1,1,1
37,52,-1,1,1
38,59,-1,1,1
39,63,-1,1,1
40,67,-1,1,1
41,60,-1,1,1
42,59,-1,1,1
43,64,-1,1,1
44,61,-1,1,1
45,66,-1,1,1
46,59,-1,1,1
47,65,-1,1,1
48,60,-1,1,1
49,62,-1,1,1
50,68,-1,1,1
51,63,-1,1,1
52,61,-1,1,1
53,64,-1,1,1
54,52,-1,1,1
55,57,-1,1,1
56,64,-1,1,1
57,57,-1,1,1
58,46,-1,1,1
59,60,-1,1,1
60,65,-1,1,1
61,60,-1,1,1
62,68,-1,1,1
63,48,-1,1,1
64,56,-1,1,1
65,43,-1,1,1
66,38,-1,1,1
67,68,-1,1,1
68,63,-1,1,1
69,52,-1,1,1
70,46,-1,1,1
71,55,-1,1,1
72,74,-1,1,1
73,65,-1,1,1
74,65,-1,1,1
75,69,-1,1,1
76,62,-1,1,1
77,73,-1,1,1
78,60,-1,1,1
79,53,-1,1,1
80,76,-1,1,1
81,59,-1,1,2
82,56,-1,1,2
83,58,-1,1,2
84,52,-1,1,2
85,70,-1,1,2
86,46,-1,1,2
87,57,-1,1,2
88,56,-1,1,2
89,63,-1,1,2
90,46,-1,1,2
91,48,-1,1,2
92,56,-1,1,2
93,51,-1,1,2
94,52,-1,1,2
95,60,-1,1,2
96,57,-1,1,2
97,52,-1,1,2
98,58,-1,1,2
99,53,-1,1,2
100,61,-1,1,2
101,61,-1,1,2
102,56,-1,1,2
103,57,-1,1,2
104,52,-1,1,2
105,59,-1,1,2
106,51,-1,1,2
107,50,-1,1,2
108,56,-1,1,2
109,49,-1,1,2
110,49,-1,1,2
111,59,-1,1,2
112,43,-1,1,2
113,53,-1,1,2
114,58,-1,1,2
115,52,-1,1,2
116,48,-1,1,2
117,63,-1,1,2
118,58,-1,1,2
119,55,-1,1,2
120,65,-1,1,2
121,57,-1,1,2
122,60,-1,1,2
123,47,-1,1,2
124,69,-1,1,2
125,62,-1,1,2
126,66,-1,1,2
127,37,-1,1,2
128,55,-1,1,2
129,60,-1,1,2
130,58,-1,1,2
131,71,-1,1,2
132,70,-1,1,2
133,48,-1,1,2
134,63,-1,1,2
135,54,-1,1,2
136,44,-1,1,2
137,54,-1,1,2
138,57,-1,1,2
139,55,-1,1,2
140,73,-1,1,2
141,62,-1,1,2
142,51,-1,1,2
143,53,-1,1,2
144,41,-1,1,2
145,55,-1,1,2
146,46,-1,1,2
147,54,-1,1,2
148,56,-1,1,2
149,56,-1,1,2
150,47,-1,1,2
151,55,-1,1,2
152,55,-1,1,2
153,64,-1,1,2
154,60,-1,1,2
155,55,-1,1,2
156,55,-1,1,2
157,58,-1,1,2
158,58,-1,1,2
159,48,-1,1,2
160,53,-1,1,2
161,58,-1,1,2
162,63,-1,1,2
163,63,-1,1,2
164,54,-1,1,2
165,62,-1,1,2
166,54,-1,1,2
167,51,-1,1,2
168,48,-1,1,2
169,62,-1,1,2
170,45,-1,1,2
